"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR10983019__62130"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19065015__27631"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Unassigned","f__Autographiviridae","SRR19064361__31839"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064733__637"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064627__42893"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064671__72399"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","ERR10819109__59277"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR19064356__80561"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","SRR10403544__84047"
"k__Shotokuvirae","p__Cressnaviricota","c__Arfiviraetes","o__Cirlivirales","f__Circoviridae","ERR10818583__59196"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983014__92409"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825147__16682"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983013__57441"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10820698__81130"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480361__18294"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10818779__20165"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983051__27467"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064898__26305"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19065023__1335"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064817__47947"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10825384__40190"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10822983__11213"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480292__16673"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064423__4391"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","DRR480414__14748"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983026__49290"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10823092__6615"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064321__37867"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19065035__17729"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10837998__49404"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064659__39954"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10983015__44433"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10824210__8533"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10819109__25227"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10821938__17042"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064625__552"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10821065__16780"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064642__16451"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR10403540__51972"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","ERR10821134__79677"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Crevaviridae","SRR19064883__5147"
