"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_globisporus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_microflavus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._cg28"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._FXY-T5"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00726"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01515"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01384"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01288"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._DG1A-41"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._R08"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01340"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00250"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CCM_MD2014"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._BPTC-684"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._R28"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01022"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00191"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01178"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01262"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01353"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._DSM_40868"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01390"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00285"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._f51"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._HNA39"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00344"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01525"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._PCS3-D2"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01613"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Rer75"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00076"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00299"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NEAU-sy36"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00259"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._R44"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00280"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._ITFR-6"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._BBFR25"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._RK9"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01716"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00258"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01171"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._1268"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._ITFR-16"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CL7"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00287"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._GD-15H"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00442"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._MBT27"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00341"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01562"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._VNUA24"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00503"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00178"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00019"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._KMM_9044"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00859"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00631"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01334"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00683"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CB01881"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01317"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._WAC_06738"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._A2-16"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SX92"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_vilmorinianum"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_liangshanensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_aurantiacus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CG4"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._R41"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SJL17-4"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_cyaneochromogenes"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01455"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Tu6071"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00554"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01356"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01410"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_roseochromogenus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_xanthii"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_tendae"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01451"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SirexAA-E"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01485"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SAT1"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._M92"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00829"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._KL2"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._RTd22"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_pratensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sclerotialus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_achromogenes"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_qinzhouensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_rectiverticillatus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_eurythermus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_broussonetiae"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_seoulensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_celluloflavus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_bathyalis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_paludis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_mirabilis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_nigrescens"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_griseochromogenes"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_griseorubiginosus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_pluripotens"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_phaeolivaceus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_pristinaespiralis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_durmitorensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_incarnatus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_cyaneofuscatus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._ADI95-16"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00057"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01235"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SCSIO_30461"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00015"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._JL4002"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01077"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._WZ-12"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SYP-A7185"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00464"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Pv4-95"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._GQFP"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01478"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SCSIO_75703"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NA02950"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._GMY02"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._SS162"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00239"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CGMCC_4.7035"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00663"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._MMBL_11-1"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01378"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00286"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Li-HN-5-11"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00838"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00727"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00096"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01237"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Je_1-369"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._MUM_178J"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00536"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._WMMC500"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00289"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._Z423-1"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._HUAS_ZL42"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00996"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01268"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._CA-210063"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00841"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01538"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._WAC_01438"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00624"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01276"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01343"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00846"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_01089"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._FXJ1.172"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00876"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00723"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._HP-A2021"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._BBFR2"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._TN58"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00158"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_dengpaensis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_tabacisoli"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_armeniacus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_prunicolor"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_roseirectus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_luteoverticillatus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_griseoviridis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_scopuliridis"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_fungicidicus"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00454"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._HU2014"
"k__Bacillati","p__Actinomycetota","c__Actinomycetes","o__Kitasatosporales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_sp._NBC_00576"
